"108年06月27日 信用交易統計"
"項目","買進","賣出","現金(券)償還","前日餘額","今日餘額",
"融資(交易單位)","187,901","218,715","3,472","7,155,252","7,120,966",
"融券(交易單位)","16,831","24,723","1,854","450,785","456,823",
"融資金額(仟元)","4,422,124","4,855,295","72,792","123,032,151","122,526,188",
"108年06月27日 融資融券彙總 (全部)"
,,"融資",,,,,,"融券",,,,,,,,
"股票代號","股票名稱","買進","賣出","現金償還","前日餘額","今日餘額","限額","買進","賣出","現券償還","前日餘額","今日餘額","限額","資券互抵","註記",
="00677U","富邦VIX","9,380","8,942","0","598,736","599,174","999,927","128","2,792","101","148,464","151,027","999,927","121","",
="00678","群益NBI生技","1","0","0","196","197","2,487","0","0","0","0","0","2,487","0","",
="00680L","元大美債20正2","6","30","0","91","67","1,019","0","0","0","9","9","1,019","0","",
="00681R","元大美債20反1","0","0","0","0","0","1,523","0","0","0","0","0","1,523","0","X",
="00682U","元大美元指數","0","0","0","0","0","1,036","0","0","0","0","0","1,036","0","X",
="00683L","元大美元指數正2","2","0","0","20","22","1,733","0","0","0","0","0","1,733","0","",
="00684R","元大美元指數反1","0","0","0","60","60","797","0","0","0","0","0","797","0","",
="00685L","群益臺灣加權正2","0","0","0","3","3","2,284","0","0","0","0","0","2,284","0","",
="00686R","群益臺灣加權反1","127","0","0","192","319","4,069","0","0","0","1","1","4,069","0","",
="00688L","國泰20年美債正2","3","0","0","26","29","1,403","0","0","0","0","0","1,403","0","",
="00689R","國泰20年美債反1","0","0","0","25","25","1,472","0","0","0","0","0","1,472","0","",
="00690","兆豐藍籌30","0","0","0","4","4","5,082","0","0","0","0","0","5,082","0","",
="00691R","兆豐藍籌30反1","0","0","0","0","0","1,651","0","0","0","0","0","1,651","0","X",
="00692","富邦公司治理","0","110","0","115","5","39,695","0","0","0","0","0","39,695","0","",
="00693U","華頓S&P黃豆","13","56","0","8,281","8,238","19,416","10","1","0","74","65","19,416","0","",
="00700","富邦恒生國企","0","0","0","35","35","1,620","0","0","0","0","0","1,620","0","",
="00701","國泰臺灣低波動30","0","0","0","5","5","3,847","0","0","0","0","0","3,847","0","",
="00702","國泰標普低波高息","0","0","0","0","0","1,297","0","0","0","0","0","1,297","0","X",
="00703","台新MSCI中國","0","0","0","558","558","13,262","0","0","0","0","0","13,262","0","",
="00706L","元大S&P日圓正2","2","10","0","144","136","1,646","0","0","0","0","0","1,646","0","",
="00707R","元大S&P日圓反1","1","0","0","0","1","1,088","0","0","0","0","0","1,088","0","",
="00708L","元大S&P黃金正2","388","305","0","7,629","7,712","12,518","124","101","0","536","513","12,518","9","",
="00709","富邦歐洲","0","0","0","0","0","1,490","0","0","0","0","0","1,490","0","X",
="00710B","FH彭博高收益債","0","0","0","0","0","120,315","0","0","0","0","0","120,315","0","X",
="00711B","FH彭博新興債","0","0","0","0","0","121,440","0","0","0","0","0","121,440","0","X",
="00712","FH富時不動產","3","0","0","9","12","44,877","0","0","0","0","0","44,877","0","",
="00713","元大台灣高息低波","0","0","0","0","0","24,878","0","0","0","0","0","24,878","0","X",
="00714","群益道瓊美國地產","0","0","0","0","0","1,391","0","0","0","0","0","1,391","0","X",
="00715L","華頓S&P布蘭特正2","0","0","0","56","56","846","0","0","0","2","2","846","0","",
="00716R","華頓S&P布蘭特反1","0","0","0","6","6","789","0","0","0","0","0","789","0","",
="00717","富邦美國特別股","0","0","0","6","6","69,026","0","0","0","0","0","69,026","0","",
="00728","第一金工業30","0","6","0","36","30","3,730","0","0","0","0","0","3,730","0","",
="00730","富邦臺灣優質高息","1","1","0","1","1","40,011","0","0","0","0","0","40,011","0","",
="00731","FH富時高息低波","0","0","0","0","0","14,150","0","0","0","0","0","14,150","0","X",
="00732","國泰RMB短期報酬","0","0","0","0","0","49,318","0","0","0","0","0","49,318","0","X",
="00733","富邦臺灣中小","0","0","0","0","0","1,866","0","0","0","0","0","1,866","0","X",
="00735","國泰臺韓科技","0","0","0","8","8","1,697","0","0","0","0","0","1,697","0","",
="00736","國泰新興市場","0","0","0","0","0","1,931","0","0","0","0","0","1,931","0","X",
="00737","國泰AI+Robo","6","3","0","1,112","1,115","13,259","0","0","0","12","12","13,259","0","",
="00738U","元大道瓊白銀","6","5","0","4,200","4,201","8,074","0","0","0","0","0","8,074","0","",
="00739","元大MSCI A股","0","1","0","323","322","37,122","0","0","0","24","24","37,122","0","",
="00742","新光內需收益","0","0","0","0","0","11,777","0","0","0","0","0","11,777","0","X",
="00743","國泰中國A150","1","2","0","135","134","2,211","0","0","0","0","0","2,211","0","",
="00752","中信中國50","0","0","0","21","21","3,054","0","0","0","0","0","3,054","0","",
="00753L","中信中國50正2","4","2","0","146","148","2,289","0","0","0","6","6","2,289","0","",
="00757","統一FANG+","0","2","0","43","41","1,873","0","0","0","0","0","1,873","0","",
="00762","元大全球AI","1","10","0","237","228","5,437","0","0","0","0","0","5,437","0","",
="00763U","國票道瓊銅","0","0","0","70","70","766","0","0","0","0","0","766","0","",
="00766L","台新MSCI中國正2","118","95","0","999","1,022","5,486","0","0","0","0","0","5,486","15","",
="00767","FH美國金融股","0","0","0","0","0","4,022","0","0","0","0","0","4,022","0","X",
="00770","國泰北美科技","0","0","0","5","5","1,739","0","0","0","0","0","1,739","0","",
="00771","元大US高息特別股","0","0","0","0","0","6,181","0","0","0","0","0","6,181","0","X",
="00774B","新光中國政金綠債","0","0","0","0","0","86,212","0","0","0","0","0","86,212","0","X",
="00775B","新光投等債15+","0","0","0","0","0","1,650","0","0","0","0","0","1,650","0","X",
="00776","新光ICE美國權值","0","0","0","0","0","1,775","0","0","0","0","0","1,775","0","X",
="00783","富邦中証500","13","27","0","1,262","1,248","14,757","0","126","0","135","261","14,757","0","",
="008201","BP上證50","0","0","0","19","19","3,872","0","0","0","0","0","3,872","0","",
="00830","國泰費城半導體","65","192","0","1,199","1,072","18,241","0","10","0","16","26","18,241","4","",
"1101","台泥","485","580","2","11,566","11,469","1,277,014","45","32","0","495","482","1,277,014","2","",
