"108年06月27日 信用交易統計"
"項目","買進","賣出","現金(券)償還","前日餘額","今日餘額",
"融資(交易單位)","187,901","218,715","3,472","7,155,252","7,120,966",
"融券(交易單位)","16,831","24,723","1,854","450,785","456,823",
"融資金額(仟元)","4,422,124","4,855,295","72,792","123,032,151","122,526,188",
"108年06月27日 融資融券彙總 (全部)"
,,"融資",,,,,,"融券",,,,,,,,
"股票代號","股票名稱","買進","賣出","現金償還","前日餘額","今日餘額","限額","買進","賣出","現券償還","前日餘額","今日餘額","限額","資券互抵","註記",
"1726","永記","0","0","1","64","63","40,500","0","0","0","0","0","40,500","0","",
"1727","中華化","1","8","0","358","351","27,562","2","0","0","2","0","27,562","0","X",
"1730","花仙子","14","24","0","825","815","15,635","15","1","0","109","95","15,635","0","",
"1731","美吾華","3","37","0","1,971","1,937","33,228","0","0","0","0","0","33,228","0","",
"1732","毛寶","4","0","0","54","58","10,610","0","0","0","0","0","10,610","0","",
"1733","五鼎","11","46","0","2,368","2,333","24,996","0","0","0","0","0","24,996","0","X",
"1734","杏輝","10","1","0","1,697","1,706","41,930","0","0","0","1","1","41,930","0","",
"1735","日勝化","0","0","0","158","158","24,847","0","0","0","0","0","24,847","0","",
"1736","喬山","137","217","0","7,843","7,763","76,004","82","19","0","1,431","1,368","76,004","4","",
"1737","臺鹽","4","4","5","335","330","50,000","0","0","0","4","4","50,000","0","",
"1760","寶齡富錦","69","56","0","2,752","2,765","19,184","0","4","0","0","4","19,184","0","",
"1762","中化生","224","139","0","985","1,070","19,390","0","3","0","0","3","19,390","7","",
"1773","勝一","2","21","2","588","567","37,500","0","2","0","10","12","37,500","0","",
"1776","展宇","0","2","0","90","88","17,390","0","0","0","0","0","17,390","0","",
"1783","和康生","10","13","0","2,875","2,872","17,366","0","0","0","0","0","17,366","0","",
"1786","科妍","55","57","0","4,725","4,723","14,525","0","0","0","9","9","14,525","0","",
"1789","神隆","4","25","0","2,901","2,880","197,684","0","0","0","6","6","197,684","0","",
"1802","台玻","6","68","0","6,659","6,597","727,015","0","0","0","26","26","727,015","10","",
"1805","寶徠","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1806","冠軍","18","27","0","5,891","5,882","108,445","0","0","0","10","10","108,445","0","",
"1808","潤隆","10","15","1","3,991","3,985","77,082","0","0","0","33","33","77,082","0","",
"1809","中釉","966","573","2","10,967","11,358","41,760","909","87","2","5,608","4,784","41,760","45","",
"1810","和成","9","12","2","21,278","21,273","92,463","0","0","0","1","1","92,463","0","",
"1817","凱撒衛","3","16","1","251","237","18,150","0","0","0","1","1","18,150","0","",
"1902","台紙","20","15","0","2,322","2,327","100,500","0","0","0","0","0","100,500","0","",
"1903","士紙","0","0","0","756","756","0","0","0","0","0","0","0","0","OX",
"1904","正隆","134","15","0","5,275","5,394","277,068","1","0","0","5","4","277,068","0","",
"1905","華紙","126","70","1","8,604","8,659","275,708","5","0","0","6","1","275,708","1","",
"1906","寶隆","12","7","1","5,422","5,426","37,750","0","0","0","0","0","37,750","0","",
"1907","永豐餘","54","30","0","15,380","15,404","415,092","0","0","0","4","4","415,092","0","",
"1909","榮成","222","319","0","20,889","20,792","291,921","0","0","0","0","0","291,921","0","",
"2002","中鋼","15","60","4","4,172","4,123","3,933,715","4","2","0","265","263","3,933,715","0","",
"2006","東和鋼鐵","7","0","0","2,276","2,283","251,015","0","0","0","1","1","251,015","0","",
"2007","燁興","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2008","高興昌","0","3","0","295","292","50,213","0","0","0","0","0","50,213","0","",
"2009","第一銅","9","74","0","2,831","2,766","89,905","0","0","0","11","11","89,905","0","",
"2010","春源","13","20","0","1,309","1,302","161,913","0","0","0","0","0","161,913","0","",
"2012","春雨","0","0","0","399","399","71,943","0","0","0","0","0","71,943","0","",
"2013","中鋼構","8","21","0","4,689","4,676","50,000","0","0","0","4","4","50,000","0","",
"2014","中鴻","158","150","243","15,213","14,978","358,886","3","0","0","313","310","358,886","0","",
"2015","豐興","13","0","1","63","75","145,399","0","0","0","0","0","145,399","0","X",
"2017","官田鋼","3","17","0","5,989","5,975","85,466","0","0","0","7","7","85,466","0","",
"2020","美亞","0","0","0","1,365","1,365","55,631","0","0","0","0","0","55,631","0","",
"2022","聚亨","43","5","0","5,531","5,569","119,937","0","0","0","0","0","119,937","0","",
"2023","燁輝","18","33","0","10,409","10,394","468,952","0","0","0","248","248","468,952","1","",
"2024","志聯","0","0","0","1,342","1,342","24,375","0","1","0","70","71","24,375","0","",
"2025","千興","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2027","大成鋼","787","1,120","0","20,179","19,846","308,447","50","3","0","236","189","308,447","13","",
"2028","威致","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2029","盛餘","0","8","3","380","369","80,295","0","0","0","0","0","80,295","0","",
"2030","彰源","76","74","0","3,268","3,270","71,631","0","3","0","17","20","71,631","0","",
"2031","新光鋼","12","42","0","11,762","11,732","77,671","0","0","0","135","135","77,671","0","",
"2032","新鋼","3","6","0","1,255","1,252","32,630","0","0","0","0","0","32,630","0","X",
"2033","佳大","3","4","0","1,283","1,282","20,173","0","0","0","0","0","20,173","0","",
"2034","允強","27","5","0","1,530","1,552","101,782","0","0","0","0","0","101,782","0","X",
"2038","海光","103","154","0","6,094","6,043","45,316","0","0","0","13","13","45,316","0","",
"2049","上銀","114","165","8","5,065","5,006","75,140","32","39","0","1,253","1,260","75,140","1","",
"2059","川湖","16","2","0","188","202","23,824","0","0","0","0","0","23,824","0","",
"2062","橋椿","13","20","30","2,443","2,406","40,753","0","2","0","3","5","40,753","0","",
"2069","運錩","17","11","0","4,285","4,291","39,096","0","0","0","21","21","39,096","0","",
"2101","南港","44","22","0","35,031","35,053","208,483","1","0","0","163","162","208,483","0","",
"2102","泰豐","53","142","0","11,413","11,324","118,332","6","0","1","74","67","118,332","0","",
"2103","台橡","1","0","0","2,872","2,873","206,427","0","0","0","2","2","206,427","0","",
"2104","國際中橡","229","179","6","7,348","7,392","217,861","0","1","0","136","137","217,861","1","",
"2105","正新","73","133","0","5,769","5,709","810,353","0","2","0","140","142","810,353","2","",
"2106","建大","0","5","0","1,227","1,222","218,607","0","0","0","4","4","218,607","0","",
"2107","厚生","53","72","0","4,340","4,321","87,500","0","0","0","0","0","87,500","0","",
"2108","南帝","10","13","0","6,406","6,403","123,104","0","0","0","92","92","123,104","6","",
"2109","華豐","0","22","0","540","518","0","0","0","0","0","0","0","0","OX",
"2114","鑫永銓","0","0","2","77","75","16,881","0","0","0","0","0","16,881","0","",
"2115","六暉-KY","3","0","0","97","100","20,491","0","0","0","0","0","20,491","0","",
"2201","裕隆","532","1,518","111","27,129","26,032","393,229","82","1","0","503","422","393,229","0","",
"2204","中華","151","310","0","3,105","2,946","346,012","0","0","0","5","5","346,012","0","",
"2206","三陽工業","180","264","0","8,458","8,374","213,398","0","0","0","42","42","213,398","0","",
"2207","和泰車","11","10","0","143","144","136,544","0","0","0","3","3","136,544","0","",
"2208","台船","62","184","0","9,288","9,166","103,247","0","3","0","134","137","103,247","2","",
"2228","劍麟","9","9","2","1,166","1,164","18,945","0","0","0","0","0","18,945","0","",
"2231","為升","27","27","0","3,066","3,066","29,265","4","14","0","175","185","29,265","0","",
"2236","百達-KY","0","2","0","890","888","10,274","0","0","0","0","0","10,274","0","",
"2239","英利-KY","3","6","0","1,318","1,315","29,501","0","0","0","7","7","29,501","0","",
"2243","宏旭-KY","11","0","0","684","695","10,400","0","0","0","0","0","10,400","0","",
"2301","光寶科","55","33","2","1,097","1,117","587,716","0","0","0","46","46","587,716","0","",
"2302","麗正","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2303","聯電","2,556","3,581","8","58,891","57,858","3,031,079","84","413","0","2,867","3,196","3,031,079","61","",
"2305","全友","0","0","0","3,697","3,697","42,355","0","0","0","1","1","42,355","0","",
"2308","台達電","73","245","0","2,319","2,147","649,385","0","0","3","3","0","649,385","0","X",
"2312","金寶","184","743","0","31,979","31,420","363,020","1","5","0","134","138","363,020","3","",
"2313","華通","3,980","1,705","43","42,866","45,098","297,955","92","38","84","1,187","1,049","297,955","20","",
"2314","台揚","272","180","2","8,340","8,430","57,007","20","0","0","122","102","57,007","0","",
"2316","楠梓電","1,887","1,124","4","6,126","6,885","56,401","49","41","0","107","99","56,401","11","X",
"2317","鴻海","836","1,477","42","62,868","62,185","3,465,747","203","244","0","2,063","2,104","3,465,747","5","",
"2321","東訊","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2323","中環","501","641","0","89,191","89,051","431,504","33","14","0","2,369","2,350","431,504","1","",
"2324","仁寶","49","191","5","8,668","8,521","1,101,786","10","1","0","257","248","1,101,786","2","",
"2327","國巨","367","395","2","23,504","23,474","106,780","348","114","0","3,224","2,990","106,780","17","",
"2328","廣宇","111","145","0","11,624","11,590","129,586","22","1","0","92","71","129,586","0","",
"2329","華泰","55","88","0","3,092","3,059","120,385","0","0","0","40","40","120,385","0","",
"2330","台積電","510","1,385","4","11,827","10,948","6,482,595","19","292","0","253","526","6,482,595","5","",
"2331","精英","20","31","1","23,476","23,464","139,350","47","10","0","108","71","139,350","0","",
"2332","友訊","152","629","1","36,061","35,583","162,999","0","2","0","911","913","162,999","5","",
"2337","旺宏","7,390","7,615","0","89,818","89,593","460,022","224","578","0","2,794","3,148","460,022","96","",
"2338","光罩","127","137","0","27,832","27,822","63,178","9","13","0","199","203","63,178","0","",
"2340","光磊","350","181","2","16,611","16,778","111,359","0","0","0","0","0","111,359","0","X",
"2342","茂矽","8","23","0","4,648","4,633","29,585","0","0","0","119","119","29,585","0","",
"2344","華邦電","996","2,397","156","51,202","49,645","995,000","15","231","0","1,879","2,095","995,000","2","",
"2345","智邦","557","361","0","6,687","6,883","139,431","257","12","0","1,328","1,083","139,431","11","",
"2347","聯強","32","42","1","2,173","2,162","416,986","1","0","0","41","40","416,986","0","",
"2348","海悅","8","9","0","1,936","1,935","21,400","0","0","0","12","12","21,400","0","",
"2349","錸德","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2351","順德","31","37","0","2,796","2,790","45,535","0","2","0","48","50","45,535","0","",
"2352","佳世達","295","38","0","27,299","27,556","491,695","4","0","0","350","346","491,695","0","",
"2353","宏碁","197","673","5","35,266","34,785","768,733","29","5","3","74","47","768,733","1","X",
"2354","鴻準","57","65","24","5,555","5,523","353,621","1","0","0","32","31","353,621","0","",
"2355","敬鵬","12","25","0","5,795","5,782","99,373","16","2","0","147","133","99,373","23","",
"2356","英業達","344","448","2","8,416","8,310","896,868","10","50","0","92","132","896,868","6","",
"2357","華碩","5","5","11","402","391","185,690","0","0","0","1","1","185,690","0","",
"2358","廷鑫","20","50","0","7,855","7,825","16,985","0","0","0","5","5","16,985","0","",
"2359","所羅門","109","129","0","5,682","5,662","42,867","0","3","0","0","3","42,867","0","",
"2360","致茂","64","79","0","2,258","2,243","104,634","17","1","0","205","189","104,634","0","",
"2362","藍天","250","156","0","10,395","10,489","167,440","3","0","0","3","0","167,440","0","X",
"2363","矽統","1,166","419","3","18,674","19,418","140,015","0","36","0","26","62","140,015","11","",
"2364","倫飛","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2365","昆盈","66","40","0","9,261","9,287","58,634","0","0","0","1","1","58,634","1","",
"2367","燿華","2,297","1,268","0","35,697","36,726","154,851","85","48","0","1,488","1,451","154,851","16","",
"2368","金像電","824","1,737","8","30,694","29,773","136,621","2","135","0","826","959","136,621","49","",
"2369","菱生","52","45","6","7,070","7,071","95,025","0","0","0","6","6","95,025","0","",
"2371","大同","1,379","1,069","0","112,642","112,952","584,884","386","280","0","7,689","7,583","584,884","10","",
"2373","震旦行","0","0","1","88","87","59,050","0","0","0","0","0","59,050","0","",
"2374","佳能","18","38","0","4,283","4,263","70,590","0","0","0","82","82","70,590","0","",
"2375","智寶","195","180","0","10,060","10,075","22,879","2","1","0","90","89","22,879","1","",
"2376","技嘉","1,007","1,130","1","5,214","5,090","158,922","105","369","0","782","1,046","158,922","68","",
"2377","微星","436","1,084","2","5,584","4,934","211,214","33","91","0","495","553","211,214","31","",
"2379","瑞昱","445","603","0","4,120","3,962","127,023","61","356","0","1,034","1,329","127,023","67","",
"2380","虹光","0","0","0","9,641","9,641","0","0","0","0","0","0","0","0","OX",
"2382","廣達","29","161","2","3,386","3,252","965,656","16","2","0","196","182","965,656","1","",
"2383","台光電","1,511","665","0","7,202","8,048","79,913","87","62","0","845","820","79,913","105","",
"2385","群光","27","61","2","1,317","1,281","183,624","1","2","0","21","22","183,624","0","",
"2387","精元","92","298","0","2,943","2,737","49,074","0","0","0","4","4","49,074","0","",
"2388","威盛","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2390","云辰","72","72","0","21,002","21,002","53,505","0","4","0","246","250","53,505","1","",
"2392","正崴","71","116","1","7,625","7,579","128,081","2","2","0","163","163","128,081","0","",
"2393","億光","37","13","1","4,141","4,164","110,764","0","0","0","12","12","110,764","0","",
"2395","研華","10","52","0","173","131","174,768","0","0","0","6","6","174,768","1","",
"2397","友通","1","16","1","598","582","28,672","0","0","0","0","0","28,672","0","X",
"2399","映泰","2,268","3,892","0","11,564","9,940","44,525","281","505","0","1,838","2,062","44,525","366","",
"2401","凌陽","340","337","11","10,158","10,150","147,998","0","2","0","82","84","147,998","3","",
"2402","毅嘉","20","81","0","10,981","10,920","76,884","0","0","0","1","1","76,884","1","",
"2404","漢唐","182","397","0","3,681","3,466","47,646","46","3","75","363","245","47,646","1","",
"2405","浩鑫","0","12","201","13,274","13,061","0","0","0","0","0","0","0","0","OX",
"2406","國碩","0","5","0","1,727","1,722","0","0","0","0","0","0","0","0","OX",
"2408","南亞科","600","1,008","3","15,686","15,275","763,376","336","17","97","1,327","911","763,376","1","X",
"2409","友達","3,528","7,048","2","85,289","81,767","2,406,061","113","527","1","2,755","3,168","2,406,061","71","",
"2412","中華電","15","2","0","553","566","1,939,361","0","0","0","17","17","1,939,361","0","",
"2413","環科","62","73","0","5,672","5,661","31,839","43","3","0","98","58","31,839","0","",
"2414","精技","0","1","0","76","75","40,433","0","0","0","0","0","40,433","0","",
"2415","錩新","10","6","0","1,937","1,941","20,000","0","0","0","1","1","20,000","0","",
"2417","圓剛","45","17","0","8,065","8,093","48,223","2","0","0","335","333","48,223","0","",
"2419","仲琦","156","40","0","7,822","7,938","56,949","0","0","0","93","93","56,949","0","",
"2420","新巨","18","9","1","591","599","38,162","6","0","0","83","77","38,162","0","",
"2421","建準","21","68","0","5,906","5,859","62,732","0","0","30","71","41","62,732","0","",
"2423","固緯","19","44","0","915","890","36,261","0","0","0","0","0","36,261","0","X",
"2424","隴華","0","5","1","844","838","7,500","0","0","0","0","0","7,500","0","",
"2425","承啟","456","658","0","8,476","8,274","25,374","0","0","0","0","0","25,374","0","X",
"2426","鼎元","170","128","9","14,813","14,846","75,155","8","0","0","71","63","75,155","0","",
"2427","三商電","42","3","0","10,889","10,928","46,078","0","0","0","28","28","46,078","0","",
"2428","興勤","6","16","0","3,365","3,355","32,028","0","0","0","14","14","32,028","0","",
"2429","銘旺科","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2430","燦坤","6","1","0","111","116","41,617","0","0","0","4","4","41,617","0","",
"2431","聯昌","9","8","0","3,412","3,413","27,731","0","0","0","8","8","27,731","0","",
"2433","互盛電","1","0","2","84","83","36,124","0","0","0","0","0","36,124","0","",
"2434","統懋","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2436","偉詮電","42","59","0","9,841","9,824","44,503","69","1","0","83","15","44,503","0","X",
"2438","翔耀","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2439","美律","280","156","1","4,206","4,329","51,682","28","59","0","1,517","1,548","51,682","0","",
"2440","太空梭","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2441","超豐","9","3","2","595","599","142,211","0","0","0","0","0","142,211","0","",
"2442","新美齊","515","519","0","13,455","13,451","57,968","0","4","0","133","137","57,968","0","",
"2443","新利虹","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2444","兆勁","0","0","0","4,807","4,807","0","0","0","0","0","0","0","0","OX",
"2448","晶電","1,451","1,451","24","61,531","61,507","272,175","39","41","0","1,718","1,720","272,175","11","",
"2449","京元電子","799","1,109","141","12,172","11,721","305,686","64","117","1","2,256","2,308","305,686","5","",
"2450","神腦","0","2","0","126","124","64,563","0","0","0","0","0","64,563","0","",
"2451","創見","2","8","1","794","787","107,690","2","0","0","2","0","107,690","0","X",
"2453","凌群","41","116","100","4,101","3,926","25,000","14","0","0","19","5","25,000","0","",
"2454","聯發科","264","461","8","7,049","6,844","396,884","66","31","44","973","894","396,884","9","",
"2455","全新","693","315","35","22,695","23,038","46,226","0","212","0","0","212","46,226","157","",
"2456","奇力新","712","690","5","14,771","14,788","60,813","47","3","10","227","173","60,813","11","X",
"2457","飛宏","77","129","42","12,200","12,106","84,422","0","0","0","76","76","84,422","3","",
"2458","義隆","352","143","2","7,176","7,383","75,970","7","13","0","425","431","75,970","3","",
"2459","敦吉","2","0","1","244","245","26,475","0","0","0","1","1","26,475","0","",
"2460","建通","0","15","0","3,403","3,388","42,300","0","0","0","0","0","42,300","0","",
"2461","光群雷","1,665","844","0","11,561","12,382","39,831","0","337","0","0","337","39,831","110","",
"2462","良得電","4","5","0","11,563","11,562","28,621","0","0","0","12","12","28,621","0","",
"2464","盟立","34","63","1","5,067","5,037","48,882","1","1","0","86","86","48,882","0","",
"2465","麗臺","0","0","0","234","234","0","0","0","0","0","0","0","0","OX",
"2466","冠西電","0","0","0","2,856","2,856","37,333","0","0","0","17","17","37,333","0","",
"2467","志聖","135","180","0","3,400","3,355","37,301","8","0","0","67","59","37,301","0","",
"2468","華經","0","5","0","2,945","2,940","17,490","0","0","0","0","0","17,490","0","",
"2471","資通","7","21","0","1,662","1,648","11,813","0","0","0","0","0","11,813","0","",
"2472","立隆電","56","91","2","4,751","4,714","32,304","5","0","0","81","76","32,304","0","",
"2474","可成","97","227","19","7,218","7,069","192,597","99","36","0","1,034","971","192,597","2","",
"2476","鉅祥","2","4","1","529","526","46,242","0","0","0","0","0","46,242","0","",
"2477","美隆電","66","14","21","2,952","2,983","49,554","0","0","0","1","1","49,554","0","",
"2478","大毅","93","190","1","9,835","9,737","48,419","0","50","0","0","50","48,419","34","",
"2480","敦陽科","129","85","2","1,995","2,037","26,590","0","11","0","0","11","26,590","2","",
"2481","強茂","443","290","6","23,968","24,115","92,448","53","0","1","196","142","92,448","1","X",
"2482","連宇","5","4","0","3,953","3,954","15,518","0","0","0","3","3","15,518","0","",
"2483","百容","2","2","0","610","610","27,654","0","0","0","0","0","27,654","0","",
"2484","希華","12","15","0","5,104","5,101","39,855","0","0","0","7","7","39,855","0","",
"2485","兆赫","70","198","1","11,032","10,903","79,422","0","1","0","29","30","79,422","0","",
"2486","一詮","26","15","0","8,617","8,628","51,313","0","0","0","4","4","51,313","0","",
"2488","漢平","246","243","1","4,568","4,570","19,999","0","0","0","80","80","19,999","0","",
"2489","瑞軒","37","37","0","8,585","8,585","202,340","0","0","0","23","23","202,340","0","",
"2491","吉祥全","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2492","華新科","957","712","5","22,230","22,470","121,450","56","31","1","1,459","1,433","121,450","6","",
"2493","揚博","15","3","1","865","876","28,609","0","0","0","4","4","28,609","0","",
"2495","普安","3","10","0","1,718","1,711","69,104","0","0","0","0","0","69,104","0","",
"2496","卓越","0","0","0","244","244","2,104","0","0","0","0","0","2,104","0","",
"2497","怡利電","6","22","0","1,156","1,140","29,699","5","0","0","70","65","29,699","0","",
"2498","宏達電","564","346","17","48,447","48,648","204,702","31","27","0","2,950","2,946","204,702","4","",
"2499","東貝","37","17","10","20,136","20,146","93,378","0","6","0","24","30","93,378","0","",
"2501","國建","174","89","0","2,733","2,818","289,890","0","0","0","0","0","289,890","0","X",
"2504","國產","304","89","0","19,602","19,817","346,250","0","1","0","16","17","346,250","0","",
"2505","國揚","0","2","0","3,398","3,396","174,145","0","0","0","4","4","174,145","0","",
"2506","太設","0","4","0","2,544","2,540","75,125","0","0","0","1","1","75,125","0","",
"2509","全坤建","2","21","0","7,843","7,824","43,249","0","10","0","1","11","43,249","0","",
"2511","太子","20","227","0","4,325","4,118","405,831","0","0","0","3","3","405,831","0","",
"2514","龍邦","14","2,610","0","30,239","27,643","126,477","0","0","0","7","7","126,477","0","",
"2515","中工","685","830","9","54,276","54,122","382,724","22","3","0","30","11","382,724","12","",
"2516","新建","30","0","0","7,487","7,517","56,569","0","0","0","0","0","56,569","0","",
"2520","冠德","782","1,622","10","28,861","28,011","125,947","432","21","10","898","477","125,947","31","X",
"2524","京城","53","97","0","2,784","2,740","96,163","0","0","0","15","15","96,163","0","",
"2527","宏璟","87","46","0","7,391","7,432","67,576","0","0","0","2","2","67,576","0","",
"2528","皇普","0","2","0","704","702","45,521","0","0","0","0","0","45,521","0","",
"2530","華建","1,547","1,541","0","23,347","23,353","67,688","0","0","0","6","6","67,688","0","",
"2534","宏盛","103","150","0","25,799","25,752","185,245","2","0","0","526","524","185,245","0","",
"2535","達欣工","19","8","0","1,719","1,730","72,685","0","0","130","518","388","72,685","0","",
"2536","宏普","66","235","0","1,711","1,542","83,202","0","0","0","18","18","83,202","0","",
"2537","聯上發","74","80","0","11,661","11,655","75,139","0","0","0","77","77","75,139","0","",
"2538","基泰","51","138","0","5,307","5,220","109,612","1","0","0","1","0","109,612","0","X",
"2539","櫻花建","0","14","0","20","6","102,060","0","0","0","0","0","102,060","0","",
"2540","愛山林","0","4","0","160","156","36,650","0","0","0","0","0","36,650","0","",
"2542","興富發","26","27","1","3,324","3,322","291,656","0","4","0","113","117","291,656","0","",
"2543","皇昌","0","0","0","5,292","5,292","0","0","0","0","0","0","0","0","OX",
"2545","皇翔","40","101","1","1,914","1,852","81,933","0","0","0","21","21","81,933","0","",
"2546","根基","33","25","1","915","922","26,508","0","0","0","3","3","26,508","0","X",
"2547","日勝生","50","58","0","11,597","11,589","223,604","0","0","0","28","28","223,604","0","",
"2548","華固","143","35","2","2,593","2,699","69,203","13","0","4","17","0","69,203","0","X",
"2597","潤弘","8","10","1","662","659","33,750","0","0","0","0","0","33,750","0","X",
"2601","益航","334","329","0","55,446","55,451","157,720","10","0","0","68","58","157,720","0","",
"2603","長榮","227","2,375","39","38,061","35,874","1,128,243","3","7","0","58","62","1,128,243","2","",
"2605","新興","13","13","0","4,928","4,928","142,076","0","0","0","3","3","142,076","0","",
"2606","裕民","111","151","18","2,850","2,792","211,263","0","5","0","8","13","211,263","0","",
"2607","榮運","123","142","3","6,260","6,238","266,785","0","1","0","16","17","266,785","0","",
"2608","嘉里大榮","8","8","0","705","705","116,750","0","0","0","1","1","116,750","0","",
"2609","陽明","0","7","100","8,921","8,814","0","0","0","0","0","0","0","0","OX",
"2610","華航","367","66","20","16,672","16,953","1,355,246","47","3","0","215","171","1,355,246","8","",
"2611","志信","21","32","0","5,972","5,961","44,498","0","0","0","0","0","44,498","0","",
"2612","中航","267","292","0","2,630","2,605","49,371","0","0","0","2","2","49,371","0","",
"2613","中櫃","3","5","77","3,978","3,899","37,105","0","0","0","14","14","37,105","0","",
"2614","東森","27","13","0","10,525","10,539","139,197","0","0","0","103","103","139,197","0","",
"2615","萬海","381","302","0","5,987","6,066","554,574","0","0","0","160","160","554,574","0","",
"2616","山隆","0","0","0","57","57","34,320","0","0","0","0","0","34,320","0","",
"2617","台航","297","903","0","5,462","4,856","104,323","0","48","0","1","49","104,323","14","",
"2618","長榮航","1,140","505","1","31,979","32,613","1,178,237","179","12","0","1,240","1,073","1,178,237","0","",
"2633","台灣高鐵","122","215","0","9,400","9,307","657,073","18","9","0","3,044","3,035","657,073","0","",
"2634","漢翔","72","200","2","3,594","3,464","235,466","2","0","0","13","11","235,466","0","",
"2636","台驊投控","35","24","0","1,478","1,489","29,289","0","0","0","1","1","29,289","0","",
"2637","慧洋-KY","204","94","0","4,855","4,965","159,742","0","2","53","1,059","1,008","159,742","0","",
"2642","宅配通","1","0","0","404","405","23,866","1","0","0","1","0","23,866","0","",
"2701","萬企","0","2","0","200","198","112,491","0","0","0","0","0","112,491","0","",
"2702","華園","6","17","0","1,816","1,805","25,575","2","0","0","20","18","25,575","0","",
"2704","國賓","1","7","0","1,911","1,905","91,730","0","0","0","1","1","91,730","0","",
"2705","六福","0","2","0","368","366","0","0","0","0","0","0","0","0","OX",
"2706","第一店","46","15","0","1,667","1,698","124,999","14","0","0","25","11","124,999","0","",
"2707","晶華","44","23","1","484","504","31,686","1","0","36","76","39","31,686","0","",
"2712","遠雄來","0","0","0","81","81","26,250","0","0","0","0","0","26,250","0","",
"2722","夏都","0","0","0","5","5","27,880","0","0","0","0","0","27,880","0","",
"2723","美食-KY","4","18","0","944","930","45,000","0","0","0","0","0","45,000","0","X",
"2727","王品","40","18","1","1,600","1,621","19,246","1","0","0","8","7","19,246","0","",
"2731","雄獅","11","2","1","421","429","17,500","0","0","0","0","0","17,500","0","X",
"2739","寒舍","2","0","0","510","512","27,881","0","0","0","0","0","27,881","0","",
"2748","雲品","3","15","0","339","327","16,409","9","0","0","9","0","16,409","0","X",
"2801","彰銀","1","43","1","3,190","3,147","1,895,589","1","21","0","100","120","1,895,589","1","",
"2809","京城銀","54","45","0","1,759","1,768","285,308","5","0","0","5","0","285,308","0","",
"2812","台中銀","75","621","0","8,318","7,772","881,377","0","0","0","5","5","881,377","0","",
"2816","旺旺保","4","2","0","1,307","1,309","53,240","0","0","0","0","0","53,240","0","",
"2820","華票","0","0","0","743","743","335,740","1","0","0","1","0","335,740","0","X",
"2823","中壽","828","281","7","16,999","17,539","1,115,895","14","1,259","125","11,331","12,451","1,115,895","1","",
"2832","台產","6","0","1","152","157","90,550","0","0","0","0","0","90,550","0","X",
"2834","臺企銀","86","459","0","19,995","19,622","1,598,470","34","11","0","428","405","1,598,470","1","",
"2836","高雄銀","7","23","0","3,756","3,740","260,085","0","0","0","0","0","260,085","0","",
"2838","聯邦銀","8","85","0","1,407","1,330","672,503","0","0","0","3","3","672,503","0","",
"2841","台開","178","749","0","19,389","18,818","190,235","0","0","0","1,488","1,488","190,235","0","",
"2845","遠東銀","7","19","0","2,791","2,779","817,296","0","0","0","4","4","817,296","0","",
"2849","安泰銀","1","4","0","139","136","223,699","0","0","0","0","0","223,699","0","",
"2850","新產","7","0","1","172","178","78,990","0","0","0","0","0","78,990","0","X",
"2851","中再保","6","6","1","203","202","147,597","0","0","0","6","6","147,597","0","",
"2852","第一保","16","0","0","573","589","75,290","0","0","0","0","0","75,290","0","",
"2855","統一證","3","52","33","2,613","2,531","343,097","0","0","0","0","0","343,097","0","",
"2867","三商壽","272","16","4","17,107","17,359","592,992","0","36","0","44","80","592,992","0","",
"2880","華南金","32","14","2","4,077","4,093","2,885,903","0","0","0","126","126","2,885,903","0","",
"2881","富邦金","188","601","1","10,411","9,997","2,558,400","29","5","0","52","28","2,558,400","2","X",
"2882","國泰金","330","761","9","19,330","18,890","3,140,802","0","0","0","0","0","3,140,802","0","X",
"2883","開發金","259","527","4","24,029","23,757","3,741,495","17","0","0","19","2","3,741,495","4","X",
"2884","玉山金","31","51","0","11,024","11,004","2,707,225","84","1","0","1,010","927","2,707,225","5","",
"2885","元大金","75","35","1","5,978","6,017","2,921,558","0","0","4","4","0","2,921,558","0","X",
"2886","兆豐金","25","56","1","2,926","2,894","3,399,955","123","0","0","278","155","3,399,955","0","",
"2887","台新金","52","404","2","19,364","19,010","2,609,560","1","0","0","81","80","2,609,560","0","",
"2888","新光金","3,836","5,870","0","199,309","197,275","3,065,098","8","42","0","922","956","3,065,098","55","",
